127.0.0.1 - - [01/Mar/2018:10:34:47 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:34:48 +0900] "GET /HelloJSP/ HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:34:55 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:35:02 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:41:07 +0900] "GET /HelloJSP/ HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:41:10 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:41:11 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3271
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:41:18 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3275
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:41:26 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [01/Mar/2018:10:41:48 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 299
